handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
PP76OM78,Product,Betty Crocker Strawberries & Cream Cake Mix 540g,,https://cdn1.woolworths.media/content/wowproductimages/medium/760486.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA37HL73,Product,Betty Crocker Strawberry Frosting 400g,,https://cdn1.woolworths.media/content/wowproductimages/medium/680973.jpg,Pantry;Baking,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ69FH47,Product,Betty Crocker Supreme Lemon Slice Mix 510g,,https://cdn1.woolworths.media/content/wowproductimages/medium/661670.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV54FS78,Product,Betty Crocker Triple Chocolate Fudge Brownie Mix 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/225676.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS82AC83,Product,Betty Crocker Triple Chocolate Muffin Mix 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/187790.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV69KF71,Product,Betty Crocker Vanilla Cake Mix 540g,,https://cdn1.woolworths.media/content/wowproductimages/medium/760464.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP48EQ45,Product,Betty Crocker Vanilla Cupcake Mix 450g,,https://cdn1.woolworths.media/content/wowproductimages/medium/760480.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP24CE43,Product,Betty Crocker Vanilla Frosting 400g,,https://cdn1.woolworths.media/content/wowproductimages/medium/680971.jpg,Pantry;Baking,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR72DO33,Product,Betty Crocker White Chocolate Fudge Brownie Mix 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/785119.jpg,Pantry;Baking,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL42PS84,Product,Buderim Ginger Crystallised 250g,,https://cdn1.woolworths.media/content/wowproductimages/medium/007620.jpg,Pantry;Baking,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
